County,Year-Month,Value,AQI,Pollutant
Monterey.7,7/1/2014,0.021,30,14129
Monterey.8,8/1/2014,0.021,31,14129
Monterey.9,9/1/2014,0.021,35,14129
Monterey.10,10/1/2014,0.017,35,14129
Monterey.11,11/1/2014,0.019,44,14129
Monterey.12,12/1/2014,0.0235,33,14129
Napa.1,1/1/2014,0.05,60,14129
Napa.2,2/1/2014,0.052,28,14129
Napa.3,3/1/2014,0.0655,34,14129
Napa.4,4/1/2014,0.036,40,14129
Napa.5,5/1/2014,0.03,38,14129
Napa.6,6/1/2014,0.023,37,14129
Napa.7,7/1/2014,0.021,29,14129
Napa.8,8/1/2014,0.021,31,14129
Napa.9,9/1/2014,0.021,35,14129
Napa.10,10/1/2014,0.017,34,14129
Napa.11,11/1/2014,0.019,44,14129
Napa.12,12/1/2014,0.0235,34,14129
Nevada.1,1/1/2014,0.05,60,14129
Nevada.2,2/1/2014,0.052,28,14129
Nevada.3,3/1/2014,0.0655,34,14129
Nevada.4,4/1/2014,0.036,40,14129
Nevada.5,5/1/2014,0.03,38,14129
Nevada.6,6/1/2014,0.023,36,14129
Nevada.7,7/1/2014,0.021,27,14129
Nevada.8,8/1/2014,0.021,30,14129
Nevada.9,9/1/2014,0.021,34,14129
Nevada.10,10/1/2014,0.017,34,14129
Nevada.11,11/1/2014,0.019,44,14129
Nevada.12,12/1/2014,0.0235,34,14129
Orange.1,1/1/2014,0.05,60,14129
Orange.2,2/1/2014,0.052,29,14129
Orange.3,3/1/2014,0.0655,35,14129
Orange.4,4/1/2014,0.036,41,14129
Orange.5,5/1/2014,0.03,40,14129
Orange.6,6/1/2014,0.023,37,14129
Orange.7,7/1/2014,0.021,34,14129
Orange.8,8/1/2014,0.021,35,14129
Orange.9,9/1/2014,0.021,37,14129
Orange.10,10/1/2014,0.017,35,14129
Orange.11,11/1/2014,0.019,44,14129
Orange.12,12/1/2014,0.0235,32,14129
Placer.1,1/1/2014,0.05,60,14129
Placer.2,2/1/2014,0.052,27,14129
Placer.3,3/1/2014,0.0655,34,14129
Placer.4,4/1/2014,0.036,40,14129
Placer.5,5/1/2014,0.03,38,14129
Placer.6,6/1/2014,0.023,35,14129
Placer.7,7/1/2014,0.021,28,14129
Placer.8,8/1/2014,0.021,31,14129
Placer.9,9/1/2014,0.021,34,14129
Placer.10,10/1/2014,0.017,34,14129
Placer.11,11/1/2014,0.019,45,14129
Placer.12,12/1/2014,0.0235,35,14129
Plumas.1,1/1/2014,0.05,62,14129
Plumas.2,2/1/2014,0.052,27,14129
Plumas.3,3/1/2014,0.0655,34,14129
Plumas.4,4/1/2014,0.036,39,14129
Plumas.5,5/1/2014,0.03,37,14129
Plumas.6,6/1/2014,0.023,35,14129
Plumas.7,7/1/2014,0.021,27,14129
Plumas.8,8/1/2014,0.021,29,14129
Plumas.9,9/1/2014,0.021,33,14129
Plumas.10,10/1/2014,0.017,33,14129
Plumas.11,11/1/2014,0.019,47,14129
Plumas.12,12/1/2014,0.0235,37,14129
Riverside.1,1/1/2014,0.05,60,14129
